"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Squat (Barbell)",,"",0,"normal",40,12,,,
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Squat (Barbell)",,"",1,"normal",40,12,,,
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Squat (Barbell)",,"",2,"normal",40,12,,,
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Bulgarian Split Squat",,"",0,"normal",8,10,,,
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Bulgarian Split Squat",,"",1,"normal",8,8,,,
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Bulgarian Split Squat",,"",2,"normal",8,8,,,
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Standing Calf Raise",,"12",0,"normal",,12,,,
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Standing Calf Raise",,"12",1,"normal",,12,,,
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Standing Calf Raise",,"12",2,"normal",,12,,,
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Seated Calf Raise",,"",0,"normal",50,10,,,
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Seated Calf Raise",,"",1,"normal",50,8,,,
"LEGS","Jun 11, 2026, 1:10 PM","Jun 11, 2026, 1:48 PM","","Seated Calf Raise",,"",2,"normal",50,8,,,
"PULL","Jun 9, 2026, 1:06 PM","Jun 9, 2026, 1:49 PM","","Bent Over Row (Barbell)",,"",0,"normal",40,12,,,
"PULL","Jun 9, 2026, 1:06 PM","Jun 9, 2026, 1:49 PM","","Bent Over Row (Barbell)",,"",1,"normal",40,12,,,
"PULL","Jun 9, 2026, 1:06 PM","Jun 9, 2026, 1:49 PM","","Bent Over Row (Barbell)",,"",2,"normal",40,11,,,
"PULL","Jun 9, 2026, 1:06 PM","Jun 9, 2026, 1:49 PM","","Lat Pulldown (Cable)",,"",0,"normal",40,12,,,
"PULL","Jun 9, 2026, 1:06 PM","Jun 9, 2026, 1:49 PM","","Lat Pulldown (Cable)",,"",1,"normal",40,12,,,
"PULL","Jun 9, 2026, 1:06 PM","Jun 9, 2026, 1:49 PM","","Lat Pulldown (Cable)",,"",2,"normal",40,10,,,
"PULL","Jun 9, 2026, 1:06 PM","Jun 9, 2026, 1:49 PM","","Chest Supported Incline Row (Dumbbell)",,"",0,"normal",10,10,,,
"PULL","Jun 9, 2026, 1:06 PM","Jun 9, 2026, 1:49 PM","","Chest Supported Incline Row (Dumbbell)",,"",1,"normal",10,11,,,
"PULL","Jun 9, 2026, 1:06 PM","Jun 9, 2026, 1:49 PM","","Chest Supported Incline Row (Dumbbell)",,"",2,"normal",10,10,,,
